id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year,duration_seconds,instrumentalness
33,Edge of the Map,Atlas Frame,cinematic,adventurous,0.77,100,0.68,0.32,0.72,2022,376,0.95
34,Desert Caravan,Nomad Mosaic,world,mysterious,0.58,98,0.51,0.64,0.79,2015,332,0.72
35,Crimson Steps,Luz del Monte,flamenco,passionate,0.74,120,0.66,0.72,0.83,2019,225,0.28
36,Quiet Rio,Mar Azul Trio,bossa nova,serene,0.39,86,0.75,0.63,0.92,2013,267,0.34
37,Mirrorball Avenue,Velvet Comet,disco,celebratory,0.85,118,0.94,0.96,0.09,2018,231,0.05
38,Rapid Transit,Breakline Unit,drum and bass,energetic,0.95,174,0.61,0.80,0.02,2023,284,0.83
39,Gravity Drop,Bass Reactor,dubstep,aggressive,0.98,140,0.42,0.67,0.01,2020,245,0.78
40,Starlight Signal,Nova Seven,k-pop,playful,0.88,126,0.95,0.93,0.07,2024,186,0.01
41,Paper Moon Parade,Sakura Arcade,j-pop,whimsical,0.79,130,0.87,0.86,0.14,2022,209,0.03
42,Satellite Garden,Glass Seasons,alternative,dreamy,0.62,114,0.57,0.69,0.38,2021,252,0.11
43,Concrete Weather,North Static,grunge,angry,0.90,148,0.34,0.55,0.09,2016,263,0.04
44,Stillwater Breath,Inner Current,new age,serene,0.19,54,0.70,0.20,0.97,2012,428,0.99
45,The Last Crown,Teatro Celeste,opera,dramatic,0.82,92,0.45,0.16,0.89,2011,512,0.08
46,Electric Daydream,Color Theory,electropop,dreamy,0.74,122,0.83,0.88,0.11,2024,201,0.06
47,City Poetry,Common Ground,spoken word,contemplative,0.31,70,0.52,0.35,0.68,2020,174,0.01
48,Temple Bells,Lotus Path,meditation,peaceful,0.08,48,0.73,0.08,0.99,2014,603,1.00
49,Victory Lap,Southside Crown,trap,confident,0.92,142,0.64,0.85,0.03,2023,178,0.01
50,Front Porch Sky,Willow Creek,americana,nostalgic,0.46,94,0.65,0.58,0.87,2017,239,0.10
51,Analog Memories,Cassette Hearts,post-punk,nostalgic,0.69,128,0.43,0.70,0.17,2015,246,0.05
52,Frozen Cathedral,Polar Veil,darkwave,mysterious,0.61,106,0.27,0.51,0.12,2019,294,0.64
53,Sunlit Mosaic,Harmony Market,folk pop,hopeful,0.66,110,0.88,0.78,0.64,2022,216,0.07
54,Midnight Brass,Quarter Note Club,bebop,adventurous,0.71,182,0.55,0.62,0.47,2010,318,0.92
55,Ocean Prayer,Coastal Voices,choral,spiritual,0.38,68,0.78,0.22,0.96,2013,351,0.76
56,Pixel Quest,Bit Wanderer,chiptune,whimsical,0.83,150,0.85,0.81,0.03,2021,162,0.98
57,Deep Current,Subsurface Lab,downtempo,contemplative,0.29,64,0.50,0.46,0.76,2018,389,0.93
58,Steel and Dust,Red Mesa Outlaws,southern rock,rebellious,0.86,136,0.59,0.65,0.19,2020,271,0.05
59,Carnival Sky,Bahia Motion,samba,celebratory,0.90,102,0.96,0.97,0.36,2023,223,0.14
60,Northern Lightsong,Fjord Story,scandinavian folk,peaceful,0.33,78,0.74,0.44,0.95,2016,286,0.31
